Company name,Image path,Top-left coord,Bottom-Right coord,Cookies ?
Colesgroup,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\colesgroup.png,-,-,False
Comcastcorporation,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\comcastcorporation.png,-,-,False
Compal,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\compal.png,-,-,False
Conocophillips,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\conocophillips.png,-,-,False
Continental,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\continental.png,"(330, 264)","(953, 307)",True
Coop,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\coop.png,"(69, 974)","(509, 995)",True
Coscoshipping,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\coscoshipping.png,-,-,False
Costco,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\costco.png,-,-,False
Countrygarden,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\countrygarden.png,-,-,False
Cpc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cpc.png,-,-,False
Credit-agricole,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\credit-agricole.png,-,-,False
Credit-suisse,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\credit-suisse.png,-,-,False
Crh,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\crh.png,"(99, 995)","(265, 1015)",True
Csgc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\csgc.png,-,-,False
Cssc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cssc.png,-,-,False
Cvshealth,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\cvshealth.png,-,-,False
Dai-ichi-life-hd,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\dai-ichi-life-hd.png,-,-,False
Daiwahouse,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\daiwahouse.png,-,-,False
Danaher,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\danaher.png,"(663, 151)","(827, 165)",True
Danone,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\danone.png,"(671, 447)","(1235, 465)",True
Db,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\db.png,"(661, 429)","(783, 449)",True
Deere,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\deere.png,"(1128, 876)","(1494, 900)",True
Delltechnologies,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\delltechnologies.png,-,-,False
