Name,Image-path,Result,Pattern list
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/costco,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/costco.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/countrygarden,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/countrygarden.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cpc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cpc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/credit-agricole,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/credit-agricole.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/credit-suisse,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/credit-suisse.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/crh,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/crh.png,True,['Sneaking']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/csgc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/csgc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cssc,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cssc.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/cvshealth,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/cvshealth.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/dai-ichi-life-hd,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/dai-ichi-life-hd.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/daiwahouse,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/daiwahouse.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/danaher,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/danaher.png,True,['Unknown']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/danone,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/danone.png,True,['Unknown']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/db,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/db.png,True,['Obstruction']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots/deere,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots/deere.png,True,['Interference']
