Company name,Image path,Top-left coord,Bottom-Right coord
Microsoft,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\microsoft.png,"(1388, 25)","(1554, 39)"
Modernatx,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\modernatx.png,"(1611, 945)","(1872, 975)"
Molsoncoors,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\molsoncoors.png,"(1722, 61)","(2086, 81)"
Morganstanley,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\morganstanley.png,"(28, 1878)","(237, 1898)"
Mosaicco,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\mosaicco.png,"(452, 1880)","(2332, 1905)"
Motorolasolutions,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\motorolasolutions.png,"(1500, 63)","(1785, 94)"
Nationwide,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\nationwide.png,"(100, 1955)","(317, 1969)"
Newellbrands,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\newellbrands.png,"(22, 1922)","(383, 1942)"
Nglenergypartners,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\nglenergypartners.png,"(1441, 2018)","(1808, 2032)"
Nike,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\nike.png,"(1687, 403)","(2112, 442)"
Northropgrumman,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\northropgrumman.png,"(2729, 2006)","(2830, 2020)"
Northwesternmutual,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\northwesternmutual.png,"(2950, 2003)","(3042, 2020)"
Nvidia,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\nvidia.png,"(1271, 1964)","(1446, 1981)"
Omnicomgroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\omnicomgroup.png,"(161, 2010)","(209, 2019)"
Onsemi,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\onsemi.png,"(2147, 363)","(2196, 377)"
Otis,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\otis.png,"(30, 21)","(205, 46)"
Owenscorning,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\owenscorning.png,"(28, 2012)","(508, 2032)"
Oxy,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\oxy.png,"(169, 2039)","(219, 2053)"
Paccar,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\paccar.png,"(1486, 1899)","(1548, 1918)"
Packagingcorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\packagingcorp.png,"(1340, 1875)","(1539, 1895)"
Paramount,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\paramount.png,"(88, 1919)","(132, 1933)"
Parpacific,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\parpacific.png,"(1598, 905)","(2133, 946)"
Paypal,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\paypal.png,"(372, 2030)","(505, 2044)"
Penskeautomotive,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\penskeautomotive.png,"(1107, 1940)","(1432, 1954)"
Pfgc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pfgc.png,"(849, 1953)","(2959, 1982)"
Pfizer,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pfizer.png,"(2714, 43)","(2848, 57)"
Pg,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pg.png,"(3703, 2024)","(3795, 2038)"
Pgecorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pgecorp.png,"(31, 2009)","(177, 2026)"
Phillips66,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\phillips66.png,"(163, 2009)","(284, 2023)"
Pmi,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pmi.png,"(1612, 246)","(2202, 260)"
Polaris,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\polaris.png,"(10, 2012)","(311, 2026)"
Ppg,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ppg.png,"(1833, 895)","(2041, 912)"
Principal,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\principal.png,"(31, 1997)","(207, 2017)"
Pxd,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pxd.png,"(378, 1976)","(1082, 1996)"
Qualcomm,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\qualcomm.png,"(1615, 246)","(1742, 260)"
Questdiagnostics,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\questdiagnostics.png,"(28, 1955)","(1360, 1975)"
Raymondjames,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\raymondjames.png,"(1331, 2021)","(1473, 2035)"
Regeneron,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\regeneron.png,"(43, 2033)","(559, 2047)"
Roberthalf,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\roberthalf.png,"(1630, 246)","(1832, 260)"
Rossstores,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\rossstores.png,"(1205, 2009)","(1823, 2023)"
Rtx,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\rtx.png,"(28, 1878)","(538, 1892)"
Saic,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\saic.png,"(741, 2008)","(975, 2037)"
Salesforce,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\salesforce.png,"(1486, 193)","(1599, 210)"
Seaboardcorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\seaboardcorp.png,"(22, 2009)","(135, 2026)"
Sherwin-williams,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\sherwin-williams.png,"(2093, 1908)","(2208, 1924)"
Sonicautomotive,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\sonicautomotive.png,"(43, 1896)","(201, 1910)"
Sonoco,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\sonoco.png,"(28, 2006)","(275, 2024)"
Southernrailway,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\southernrailway.png,"(1655, 920)","(1990, 964)"
Starbucks,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\starbucks.png,"(1763, 502)","(2036, 527)"
