Company name,Image path,Top-left coord,Bottom-Right coord
Fbin,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\fbin.png,"(281, 955)","(527, 973)"
Fiserv,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\fiserv.png,"(493, 106)","(1151, 127)"
Fisglobal,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\fisglobal.png,"(31, 957)","(1039, 977)"
Fluor,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\fluor.png,"(31, 1013)","(1029, 1033)"
Franklinresources,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\franklinresources.png,"(710, 503)","(1168, 529)"
Gd,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\gd.png,"(492, 998)","(1322, 1022)"
Ge,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ge.png,"(99, 1041)","(1261, 1059)"
Generalmills,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\generalmills.png,"(33, 1029)","(1019, 1049)"
Genpt,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\genpt.png,"(135, 1031)","(1009, 1049)"
Gilead,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\gilead.png,"(28, 956)","(156, 980)"
Globalp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\globalp.png,"(523, 895)","(1381, 914)"
Goldmansachs,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\goldmansachs.png,"(807, 179)","(1089, 197)"
Goodyear,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\goodyear.png,"(31, 1029)","(1043, 1050)"
Graphicpkg,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\graphicpkg.png,"(1537, 783)","(1719, 803)"
Guardianlife,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\guardianlife.png,"(357, 1013)","(1009, 1031)"
Halliburton,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\halliburton.png,"(1588, 758)","(1832, 782)"
Hp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\hp.png,"(587, 186)","(1313, 203)"
Huntsman,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\huntsman.png,"(29, 1011)","(217, 1031)"
Ibm,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ibm.png,"(33, 937)","(205, 953)"
Iff,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\iff.png,"(111, 969)","(951, 990)"
Ingredion,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ingredion.png,"(772, 58)","(1134, 82)"
Insight,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\insight.png,"(663, 149)","(899, 169)"
Intel,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\intel.png,"(1315, 1021)","(1421, 1035)"
Internationalpaper,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\internationalpaper.png,"(115, 945)","(227, 961)"
Interpublic,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\interpublic.png,"(69, 979)","(747, 997)"
Itw,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\itw.png,"(1551, 809)","(1823, 829)"
Jackson,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jackson.png,"(18, 994)","(1034, 1022)"
Jacobs,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jacobs.png,"(29, 983)","(172, 1010)"
Jbhunt,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jbhunt.png,"(31, 1030)","(211, 1047)"
Jetblue,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jetblue.png,"(603, 104)","(1045, 148)"
Jmsmucker,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jmsmucker.png,"(663, 213)","(1209, 233)"
Jnj,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jnj.png,"(971, 181)","(1083, 193)"
Jpmorganchase,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\jpmorganchase.png,"(31, 1034)","(209, 1051)"
Kindermorgan,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\kindermorgan.png,"(511, 513)","(671, 527)"
Kla,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\kla.png,"(31, 1020)","(215, 1037)"
Knight-swift,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\knight-swift.png,"(674, 191)","(968, 221)"
Kraftheinzcompany,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\kraftheinzcompany.png,"(39, 759)","(123, 779)"
Kyndryl,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\kyndryl.png,"(669, 53)","(891, 71)"
L3harris,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\l3harris.png,"(389, 31)","(623, 51)"
Labcorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\labcorp.png,"(28, 956)","(164, 980)"
